Sample	Total Reads	Mapped Reads	Read Length	Paired
H3K27me3_N2_rep1	61286760	44310836	150	Yes
H3K27me3_N2_rep2	36364237	27941797	150	Yes
H3K4me3_N2_rep1	39855564	30652239	150	Yes
H3K4me3_N2_rep2	33160149	24423997	150	Yes
H3K9me2_CEC4_rep1	31744204	27539238	150	Yes
H3K9me2_CEC4_rep2	59166875	49055931	150	Yes
H3K9me2_hpl2-lin61_rep1	47640467	42433883	150	Yes
H3K9me2_hpl2-lin61_rep2	30858473	26101956	150	Yes
H3K9me2_hpl2_rep1	33155617	30535655	150	Yes
H3K9me2_hpl2_rep2	51563471	46224011	150	Yes
H3K9me2_I158A_rep2	38684511	31085448	150	Yes
H3K9me2_lin61_rep1	35147202	31013968	150	Yes
H3K9me2_lin61_rep2	64803077	51334158	150	Yes
H3K9me2_met2-set25-set32_rep2	35079982	24163432	150	Yes
H3K9me2_met2-set25-set32_rep3	34582623	24642496	150	Yes
H3K9me2_N2_rep1	62755881	43896633	150	Yes
H3K9me2_N2_rep2	37139123	30586427	150	Yes
H3K9me3_CEC4_rep1	37147851	29343493	150	Yes
H3K9me3_CEC4_rep2	30591902	25313832	150	Yes
H3K9me3_hpl2-lin61_rep1	35311679	27185587	150	Yes
H3K9me3_hpl2-lin61_rep2	35866559	27237225	150	Yes
H3K9me3_hpl2_rep1	43954073	38143935	150	Yes
H3K9me3_hpl2_rep2	37007483	31608159	150	Yes
H3K9me3_I158A_rep1	33238974	25785141	150	Yes
H3K9me3_I158A_rep2	24362810	18322315	150	Yes
H3K9me3_lin61_rep1	80113131	48043115	150	Yes
H3K9me3_lin61_rep2	75429169	56604654	150	Yes
H3K9me3_met2-set25-set32_rep2	34001562	13540571	150	Yes
H3K9me3_met2-set25-set32_rep3	41684682	38756690	150	Yes
H3K9me3_N2_rep1	44226209	36200014	150	Yes
H3K9me3_N2_rep2	35479455	29673476	150	Yes
hpl2_CEC4_rep2	34835233	28698451	150	Yes
hpl2_CEC4_rep3	33599973	26126456	150	Yes
hpl2_hpl2-lin61_rep1	29952547	26271162	150	Yes
hpl2_hpl2-lin61_rep2	72166833	57221144	150	Yes
hpl2_I158A_rep2	31062821	27088704	150	Yes
hpl2_I158A_rep3	30182694	22725035	150	Yes
hpl2_lin61_rep1	13301381	9166157	150	Yes
hpl2_lin61_rep2	42859197	27278754	150	Yes
hpl2_met2-set25-set32_rep2	39316598	25917619	150	Yes
hpl2_met2-set25-set32_rep3	41606935	33581374	150	Yes
hpl2_N2_rep2	37063630	32279944	150	Yes
hpl2_N2_rep5	59765736	22425464	150	Yes
Input_CEC4_rep1	23217691	21161464	150	Yes
Input_CEC4_rep2	34224683	27999450	150	Yes
Input_CEC4_rep3	37093883	35339171	150	Yes
Input_CEC4_rep4	32332274	29592702	150	Yes
Input_CEC4_rep5	37757531	33046732	150	Yes
Input_CEC4_rep6	45052643	16960297	150	Yes
Input_hpl2-lin61_rep1	39711236	28293169	150	Yes
Input_hpl2-lin61_rep2	43017998	40844301	150	Yes
Input_hpl2-lin61_rep3	34762921	31948545	150	Yes
Input_hpl2-lin61_rep4	73516362	53746301	150	Yes
Input_hpl2_rep1	32017471	24243828	150	Yes
Input_hpl2_rep2	43855125	30519753	150	Yes
Input_hpl2_rep3	37759124	33681229	150	Yes
Input_hpl2_rep4	110984488	94915311	150	Yes
Input_hpl2_rep5	60445418	16682562	150	Yes
Input_I158A_rep1	27210286	24543247	150	Yes
Input_I158A_rep2	32875682	24997254	150	Yes
Input_I158A_rep3	36897293	34092872	150	Yes
Input_I158A_rep4	24453360	22248198	150	Yes
Input_I158A_rep5	42357691	33300581	150	Yes
Input_I158A_rep9	60255832	27861338	150	Yes
Input_lin61_rep1	18674520	16763369	150	Yes
Input_lin61_rep2	27623484	25413350	150	Yes
Input_lin61_rep3	36344074	33682572	150	Yes
Input_lin61_rep4	29958543	27331178	150	Yes
Input_lin61_rep5	57243595	29348791	150	Yes
Input_lin61_rep6	47517983	8418733	150	Yes
Input_met2-set25-set32_rep1	24717724	19523760	150	Yes
Input_met2-set25-set32_rep2	32371458	30235762	150	Yes
Input_met2-set25-set32_rep3	40272487	29454642	150	Yes
Input_met2-set25-set32_rep4	29622329	27401474	150	Yes
Input_met2-set25-set32_rep5	49134254	23814177	150	Yes
Input_met2-set25-set32_rep7	52693313	49645173	150	Yes
Input_N2_rep10	50665041	47280386	150	Yes
Input_N2_rep2	41235210	29452569	150	Yes
Input_N2_rep3	39361160	32799907	150	Yes
Input_N2_rep4	32940073	30580323	150	Yes
Input_N2_rep5	37846823	30889030	150	Yes
LEM2_hpl2-lin61_rep1	40400426	28337579	150	Yes
LEM2_hpl2-lin61_rep2	49012422	33644869	150	Yes
LEM2_hpl2_rep1	33564153	28033353	150	Yes
LEM2_hpl2_rep2	50409731	41018780	150	Yes
LEM2_I158A_rep1	39731761	29147108	150	Yes
LEM2_I158A_rep2	46270434	33404378	150	Yes
LEM2_lin61_rep1	35185665	28047415	150	Yes
LEM2_lin61_rep2	50749426	39738405	150	Yes
LEM2_N2_rep2	66596714	34290167	150	Yes
LEM2_N2_rep3	31163452	25807752	150	Yes
lin61_CEC4_rep1	19643935	15607819	150	Yes
lin61_CEC4_rep2	42481463	33148580	150	Yes
lin61_hpl2_rep1	19132664	16618447	150	Yes
lin61_hpl2_rep2	40107575	34396125	150	Yes
lin61_I158A_rep1	33488691	25532431	150	Yes
lin61_I158A_rep2	22350184	14631400	150	Yes
lin61_lin61_rep1	25361039	21352120	150	Yes
lin61_lin61_rep2	35181475	27379554	150	Yes
lin61_met2-set25-set32_rep1	25721809	22004149	150	Yes
lin61_met2-set25-set32_rep2	35021757	29150174	150	Yes
lin61_N2_rep1	49026193	29229723	150	Yes
lin61_N2_rep2	49257509	24277692	150	Yes
